Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0        76    0,00    0,00    0,00    0,00    0,00    10  idle_inject/10
03:54:43        0        77    0,00    0,00    0,00    0,00    0,00    10  migration/10
03:54:43        0        78    0,00    0,00    0,00    0,00    0,00    10  ksoftirqd/10
03:54:43        0        80    0,00    0,00    0,00    0,00    0,00    10  kworker/10:0H-events_highpri
03:54:43        0        81    0,00    0,00    0,00    0,00    0,00    11  cpuhp/11
03:54:43        0        82    0,00    0,00    0,00    0,00    0,00    11  idle_inject/11
03:54:43        0        83    0,00    0,00    0,00    0,00    0,00    11  migration/11
03:54:43        0        84    0,00    0,00    0,00    0,00    0,00    11  ksoftirqd/11
03:54:43        0        86    0,00    0,00    0,00    0,00    0,00    11  kworker/11:0H-events_highpri
03:54:43        0        87    0,00    0,00    0,00    0,00    0,00    12  cpuhp/12
03:54:43        0        88    0,00    0,00    0,00    0,00    0,00    12  idle_inject/12
03:54:43        0        89    0,00    0,00    0,00    0,00    0,00    12  migration/12
03:54:43        0        90    0,00    0,00    0,00    0,00    0,00    12  ksoftirqd/12
03:54:43        0        92    0,00    0,00    0,00    0,00    0,00    12  kworker/12:0H-events_highpri
03:54:43        0        93    0,00    0,00    0,00    0,00    0,00    13  cpuhp/13
03:54:43        0        94    0,00    0,00    0,00    0,00    0,00    13  idle_inject/13
03:54:43        0        95    0,00    0,00    0,00    0,00    0,00    13  migration/13
03:54:43        0        96    0,00    0,00    0,00    0,00    0,00    13  ksoftirqd/13
03:54:43        0        97    0,00    0,00    0,00    0,00    0,00    13  kworker/13:0-events
03:54:43        0        98    0,00    0,00    0,00    0,00    0,00    13  kworker/13:0H-events_highpri
03:54:43        0        99    0,00    0,00    0,00    0,00    0,00    14  cpuhp/14
03:54:43        0       100    0,00    0,00    0,00    0,00    0,00    14  idle_inject/14
03:54:43        0       101    0,00    0,00    0,00    0,00    0,00    14  migration/14
03:54:43        0       102    0,00    0,00    0,00    0,00    0,00    14  ksoftirqd/14
03:54:43        0       104    0,00    0,00    0,00    0,00    0,00    14  kworker/14:0H-events_highpri
